霧社水庫	2572.22	2091.7	2026-01-13
日月潭水庫	12846.14	11250.77	2026-01-13
湖山水庫	5041.0	3009.5	2026-01-13
仁義潭水庫	2459.19	1228.1	2026-01-13
蘭潭水庫	919.7	522.41	2026-01-13
白河水庫	1404.16	374.0	2026-01-13
烏山頭水庫	7737.94	3702.0	2026-01-13
曾文水庫	49181.0	36967.0	2026-01-13
南化水庫	8522.63	5392.54	2026-01-13
鏡面水庫	96.57	76.87	2026-01-13
阿公店水庫	1467.92	1178.0	2026-01-13
鳳山水庫	-1.0	445.31	2026-01-13
牡丹水庫	2622.08	2325.0	2026-01-13
成功水庫	121.0	108.55	2026-01-12
興仁水庫	74.0	33.88	2026-01-12
太湖水庫	148.08	128.63	2026-01-13
田埔水庫	48.62	37.25	2026-01-13
金沙水庫	43.47	33.4	2026-01-13
后沃水庫	41.63	29.16	2026-01-13
石門水庫	20526.0	20355.15	2026-01-14
西勢水庫	39.6	25.82	2026-01-14
新山水庫	995.96	748.05	2026-01-14
翡翠水庫	36997.6	34896.74	2026-01-14
寶山水庫	500.83	266.48	2026-01-14
寶山第二水庫	3379.78	2451.7	2026-01-14
永和山水庫	2993.43	2240.04	2026-01-14
大埔水庫	529.9	-1.0	2026-01-14
明德水庫	1242.28	789.91	2026-01-14
鯉魚潭水庫	11584.35	7989.24	2026-01-14
德基水庫	18432.88	17516.05	2026-01-14
石岡壩	120.21	29.78	2026-01-14
霧社水庫	2572.22	2069.37	2026-01-14
日月潭水庫	12846.14	11235.16	2026-01-14
湖山水庫	5041.0	2990.42	2026-01-14
仁義潭水庫	2459.19	1224.21	2026-01-14
蘭潭水庫	919.7	517.73	2026-01-14
白河水庫	1404.16	372.0	2026-01-14
烏山頭水庫	7737.94	3621.0	2026-01-14
曾文水庫	49181.0	36784.0	2026-01-14
南化水庫	8522.63	5340.61	2026-01-14
鏡面水庫	96.57	76.77	2026-01-14
阿公店水庫	1467.92	1162.0	2026-01-14
鳳山水庫	-1.0	445.89	2026-01-14
牡丹水庫	2622.08	2315.0	2026-01-14
成功水庫	121.0	108.32	2026-01-14
興仁水庫	74.0	33.31	2026-01-14
太湖水庫	148.08	128.63	2026-01-14
田埔水庫	48.62	37.44	2026-01-14
金沙水庫	43.47	33.4	2026-01-14
后沃水庫	41.63	29.11	2026-01-14
石門水庫	20526.0	20321.02	2026-01-15
西勢水庫	39.6	24.26	2026-01-15
新山水庫	995.96	755.08	2026-01-15
翡翠水庫	36997.6	34824.82	2026-01-15
寶山水庫	500.83	372.9	2026-01-15
寶山第二水庫	3379.78	2437.1	2026-01-15
永和山水庫	2993.43	2228.11	2026-01-15
大埔水庫	529.9	-1.0	2026-01-15
明德水庫	1242.28	783.48	2026-01-15
鯉魚潭水庫	11584.35	7954.58	2026-01-15
德基水庫	18432.88	17507.8	2026-01-15
石岡壩	120.21	28.54	2026-01-15
霧社水庫	2572.22	2045.25	2026-01-15
日月潭水庫	12846.14	11242.96	2026-01-15
湖山水庫	5041.0	2969.8	2026-01-15
仁義潭水庫	2459.19	1216.43	2026-01-15
蘭潭水庫	919.7	512.51	2026-01-15
